Classifier type,<0>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,mean
XGBClassifier 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier 2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier 3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier 4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier 5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier 6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBRFClassifier 1,0.9935294117647059,0.9947582993593477,0.9919261822376009,0.9942889777270132,0.9920814479638009,0.9904761904761905,0.9916759156492786,0.9928532160527762,0.9912854030501089,0.9913653534808419,0.9919786096256684,0.9931107578166402,0.9910714285714286,0.9921915668922436,0.9922600619195047,0.9907928388746803,0.9939148073022313,0.9929612870789342,0.9920239282153539,0.9920909540286703,0.990686274509804,0.9912493923189111,0.991321118611379,0.991869918699187,0.99146110056926,0.9924705882352941,0.9911297852474323,0.9916628068550255,0.9931066176470589,0.9936160510715915,0.9923076923076923,0.9932644813650651,0.9906417112299465,0.9911543564794338,0.9916593503072871,0.9908496732026144,0.9883217993079585,0.9901245169600686,0.989769820971867,0.988573846804909,0.9873949579831933,0.9891531080517313,0.9871582435791217,0.9868366927190456,0.9873366013071896,0.9890466531440162,0.9858984689766318,0.990796318527411,0.9900635930047694,0.9901302803000395,0.9886274509803922,0.9894818854694195,0.9926470588235294,0.9915417147251058,0.9912146676852559,0.9901328273244782,0.9905731523378583,0.991007868115399,0.9918093819806404,0.9922308546059934,0.9933823529411765,0.9923273657289002,0.9912854030501089,0.991699747383616,0.990674318507891,0.9907308377896613,0.9922041105598866,0.9897851356111307,0.9898459383753502,0.9923424991298294,0.9911319575643935
XGBRFClassifier 2,0.9970588235294118,0.9982527664531159,0.9965397923875432,0.9977155910908052,0.9971719457013575,0.9955182072829132,0.9966703662597114,0.9967014843320505,0.9950980392156863,0.9978413383702105,0.9983957219251337,0.9978802331743508,0.9994747899159664,0.9973971889640812,0.9953560371517027,0.9974424552429667,0.9979716024340771,0.9984917043740573,0.9980059820538385,0.9970341077607514,0.9985294117647059,0.997569275644142,0.9951783992285439,0.9976087996174079,0.9971537001897534,0.9967058823529412,0.9957983193277311,0.9962945808244558,0.9967830882352942,0.9972640218878249,0.9959276018099548,0.9968567579703638,0.9964349376114082,0.9969040247678018,0.9978050921861282,0.9969498910675382,0.9961072664359861,0.9974237870330614,0.9961636828644501,0.996191282268303,0.9957983193277311,0.9949937421777222,0.9946147473073736,0.9950637597696421,0.994281045751634,0.9963488843813387,0.9943593875906527,0.9959983993597439,0.996422893481717,0.9960521121200158,0.9964705882352941,0.9961044020257109,0.9976780185758514,0.9957708573625529,0.9969442322383499,0.996584440227704,0.996606334841629,0.9966279505432747,0.996276991809382,0.9959304476507584,0.9963235294117647,0.9967117281695287,0.9963689179375453,0.9967520750631541,0.9949784791965567,0.9967914438502674,0.9961020552799433,0.9950686861570975,0.9964985994397759,0.9968673860076575,0.9966151205142703
XGBRFClassifier 3,0.658235294117647,0.6598718695398952,0.6464821222606689,0.6493432324386065,0.6515837104072398,0.66890756302521,0.6703662597114317,0.6619021440351842,0.6595860566448801,0.6540744738262277,0.6625668449197861,0.6640169581346052,0.664390756302521,0.6678813118167621,0.6615067079463365,0.659846547314578,0.6612576064908722,0.6711915535444947,0.6799601196410767,0.6786950074147305,0.6681372549019607,0.667963052989791,0.6663452266152362,0.6580583452893353,0.6522770398481973,0.6677647058823529,0.6563958916900093,0.6632700324224178,0.6645220588235294,0.6712266301869585,0.6610859728506787,0.6722047597665021,0.6631016042780749,0.6585581601061478,0.6628621597892889,0.661437908496732,0.6617647058823529,0.6526406182911121,0.6521739130434783,0.6542530681337283,0.6495798319327731,0.637880684188569,0.644159072079536,0.6363636363636364,0.6315359477124183,0.6413793103448275,0.6410153102336825,0.636654661864746,0.6498410174880763,0.6435057244374259,0.6423529411764706,0.6497857421114142,0.6389318885448917,0.6485966935793925,0.6432391138273491,0.6497153700189753,0.6417797888386124,0.6508055451479955,0.6433358153387937,0.634850166481687,0.6275735294117647,0.6357325538911217,0.6285403050108932,0.6178274990977987,0.6176470588235294,0.6242424242424243,0.6162296243798724,0.6061993659739345,0.6109943977591037,0.6143404107205013,0.6506049239977548
XGBRFClassifier 4,0.8676470588235294,0.8707047175305765,0.8748558246828143,0.8686464877213022,0.871606334841629,0.8717086834733894,0.8740288568257492,0.8647608576140736,0.8687363834422658,0.8715596330275229,0.8705882352941177,0.8691043985161632,0.8644957983193278,0.8604893284747527,0.8622291021671826,0.8618925831202046,0.8635902636916836,0.8687782805429864,0.8673978065802592,0.8690064260998517,0.8666666666666667,0.8653378706854643,0.8702989392478303,0.8641798182687709,0.8638519924098672,0.8649411764705882,0.8613445378151261,0.8633626679018064,0.8653492647058824,0.8677610579115367,0.8647058823529412,0.8702290076335878,0.8587344028520499,0.8589119858469704,0.8555750658472344,0.8583877995642701,0.8546712802768166,0.8484328037784457,0.8444160272804774,0.8345323741007195,0.8361344537815126,0.8356278681685441,0.835956917978459,0.8408062525709584,0.8349673202614379,0.8365111561866125,0.83883964544722,0.8415366146458584,0.8449920508744038,0.8456375838926175,0.8458823529411764,0.8472925594078691,0.8401702786377709,0.843521722414456,0.838044308632544,0.8398481973434535,0.8299396681749623,0.839640314724616,0.8466120625465376,0.8412874583795783,0.8430147058823529,0.8432590427475338,0.840958605664488,0.8390472753518585,0.8400286944045912,0.8445632798573975,0.8394755492558469,0.8400845368087355,0.8378851540616247,0.8395405499477898,0.8539231980485608
